X,Y,Z,H,S,L,R,G,B
-0.744296,0.007843137,-0.6438893,0.1364916,0.9841897,0.5039216,0.9921569,0.8156863,0.01568626
-0.7558104,0.06666672,-0.6384703,0.1383627,0.9915966,0.5333334,0.9960784,0.8392156,0.07058829
-0.6597812,-0.07843137,-0.7245634,0.1175576,0.9829786,0.4607843,0.9137254,0.6470587,0.007843175
-0.6873621,-0.02745098,-0.7146522,0.1219025,0.9919355,0.4862745,0.9686275,0.7098041,0.003921565
-0.6795289,-0.06274509,-0.7309607,0.1191992,1,0.4686275,0.9372549,0.6705883,0
-0.7478444,0.07843137,-0.6463224,0.1365691,0.9914894,0.5392157,0.9960784,0.8313725,0.08235294
0.1110928,0.6980393,0.1827742,0.5869218,0.2987013,0.8490196,0.8039216,0.8470588,0.8941177
0.09691463,0.5960784,0.0654249,0.6554933,0.1456311,0.7980392,0.7686274,0.772549,0.827451
0.07640804,0.5803921,-0.1403754,0.9206667,0.1962617,0.7901961,0.8313726,0.7490196,0.7882352
0.07426234,0.5372549,-0.04291687,0.8334,0.1016949,0.7686275,0.7921569,0.7450981,0.7921569
0.1031234,0.6117647,0.0884124,0.6372,0.1717172,0.8058823,0.772549,0.7843137,0.8392157
-0.007203555,0.509804,-0.3096209,0.00370219,0.36,0.754902,0.8431373,0.6705883,0.6666667
0.06916279,0.4627452,0.01681775,0.7120364,0.08029197,0.7313726,0.7215687,0.709804,0.7529412
0.0866967,0.5450981,0.1502358,0.5833,0.2068966,0.772549,0.7254902,0.772549,0.8196079
-2.07271E-05,0.3254902,0.03298413,0.4999,0.03488372,0.6627451,0.6509804,0.6745098,0.6745098
0.07723521,0.4588236,0.1338401,0.5833,0.173913,0.7294118,0.682353,0.7294118,0.7764706
0.114599,0.6313726,0.1813144,0.5897077,0.2765957,0.8156863,0.7647059,0.8117647,0.8666667
0.05141614,0.4627452,0.08232398,0.5888533,0.1094891,0.7313726,0.7019609,0.7294118,0.7607843
-0.201178,-0.3372549,-0.6666163,0.04664799,0.7396449,0.3313726,0.5764706,0.2235294,0.08627452
-0.2385807,-0.1294118,-0.68313,0.05347659,0.7297297,0.4352941,0.7529412,0.3215688,0.1176471
-0.1891088,0.3333334,-0.6611835,0.04433711,0.7294118,0.6666667,0.9098039,0.5529413,0.4235294
0.0843056,0.5882354,0.138028,0.5872667,0.2,0.7941177,0.7529413,0.7921569,0.8352941
0.1063496,0.5843138,0.1682625,0.5897077,0.245283,0.7921569,0.7411765,0.7882353,0.8431373
0.05198432,0.5450981,-0.1502636,0.9469909,0.1896552,0.772549,0.8156863,0.7294118,0.7568628
-0.2958714,0.0196079,-0.6298332,0.06989537,0.696,0.509804,0.8509804,0.4549018,0.1686275
-0.05773158,0.2470589,-0.2869694,0.03159653,0.3020833,0.6235294,0.7372549,0.5529411,0.509804
-0.6352011,-0.1960784,-0.7470428,0.1121503,0.9999999,0.4019608,0.8039216,0.5411766,2.395873E-08
-0.6128817,-0.0745098,-0.7101679,0.1133181,0.9406779,0.4627451,0.8980392,0.6196081,0.02745099
-0.6771766,-0.08235294,-0.7311975,0.1188983,0.9999999,0.4588235,0.9176471,0.654902,2.734801E-08
-0.09131012,-0.6666666,-0.5092434,0.02823729,0.6941177,0.1666667,0.282353,0.0901961,0.0509804
-0.6060997,-0.1490196,-0.7697374,0.1061591,0.9907834,0.4254902,0.8470588,0.5411767,0.003921576
-0.6500323,-0.09411764,-0.7540556,0.1132303,1,0.4529412,0.9058824,0.6156865,0
-0.612933,-0.1568627,-0.7508336,0.1089612,0.9813954,0.4215686,0.8352941,0.5490198,0.007843131
-0.6189972,-0.2039216,-0.7459667,0.1102378,0.9901478,0.3980392,0.7921569,0.5254902,0.003921574
-0.7371472,-0.01960784,-0.6754476,0.1319472,1,0.4901961,0.9803922,0.7764705,0
-0.03193207,0.3294117,-0.03807674,0.1110667,0.05263158,0.6647059,0.682353,0.6705883,0.6470588
0.1051585,0.6862745,0.1253942,0.6110666,0.225,0.8431373,0.8078431,0.8313726,0.8784314
0.108391,0.7019608,0.1292487,0.6110666,0.2368421,0.8509804,0.8156863,0.8392157,0.8862745
0.03929363,0.7411765,0.01055075,0.70825,0.06060606,0.8705882,0.8666667,0.8627451,0.8784314
-0.7445571,0.007843137,-0.6675127,0.1336751,1,0.5039216,1,0.8039216,0.007843078
-0.6976179,-0.09019607,-0.71077,0.1235138,1,0.454902,0.9098039,0.6745098,0
-0.6359619,-0.1019608,-0.7536221,0.111556,0.9912664,0.4490196,0.8941177,0.6,0.003921571
-0.6523414,-0.007843137,-0.7156479,0.11764,0.9683795,0.4960784,0.9764706,0.6941178,0.01568625
-0.4015298,-0.1411765,-0.6816061,0.08472797,0.7990867,0.4294118,0.772549,0.435294,0.08627454
-0.426113,-0.3098039,-0.7270926,0.08436794,0.8863637,0.345098,0.6509804,0.3490196,0.03921567
-0.6072328,-0.1294118,-0.7725829,0.1060182,0.990991,0.4352941,0.8666667,0.5529412,0.003921567
-0.6824229,-0.03529412,-0.7189432,0.1208533,0.9918699,0.4823529,0.9607843,0.6980393,0.003921594
-0.6270523,-0.1607843,-0.7502202,0.1108047,0.9906542,0.4196078,0.8352941,0.5568627,0.003921583
-0.6875992,-0.03137255,-0.6685568,0.1272346,0.959514,0.4843137,0.9490196,0.7294118,0.01960791
-0.1152439,0.0196079,-0.3494149,0.05070436,0.368,0.509804,0.6901961,0.4392157,0.3294118
0.01168456,0.3568628,-0.03211701,0.9444667,0.03658536,0.6784314,0.6901961,0.6666667,0.6745098
0.02343623,0.3529413,0.08176627,0.5444267,0.09090909,0.6764706,0.6470589,0.6901961,0.7058824
-0.05937632,0.2627451,0.04046128,0.3452,0.07446808,0.6313726,0.6039216,0.6588235,0.6078432
