PosX,PosY,PosZ,H(0.0-1.0),S(0.0-1.0),L(0.0-1.0),R(0-255),G(0-255),B(0-255)
0.03085435,0.1019609,0.0670945,0.5686,0.0742358,0.5509804,132,142,149
0.1118181,0.4705882,0.1191463,0.619952,0.1851852,0.7352941,174,182,200
0.07432467,0.3607843,-0.002947194,0.7563077,0.07975461,0.6803921,173,166,180
0.05298774,0.3725491,0.1160797,0.5681545,0.1375,0.6862745,164,177,186
0.111695,0.6156863,0.1767197,0.5897077,0.2653061,0.8078431,193,205,219
0.08212281,0.5058824,0.1423097,0.5833,0.1904762,0.7529412,180,192,204
-0.01318641,0.1333334,0.01813515,0.39994,0.02262443,0.5666667,142,147,144
-0.0282604,0.3725491,0.03680173,0.395775,0.05,0.6862745,171,179,174
-0.6973382,-0.03137255,-0.6932823,0.1254642,0.9838057,0.4843137,245,185,2
-0.5852725,-0.227451,-0.740837,0.1064146,0.9695432,0.3862745,194,124,2
-0.5772561,-0.1176471,-0.7194912,0.1076124,0.9288889,0.4411765,217,142,8
-0.7306705,0.09411764,-0.6243401,0.1374637,0.9653679,0.5470588,251,211,28
-0.6636852,-0.03921568,-0.7139179,0.1191992,0.9755102,0.4803922,242,174,3
-0.6848115,-0.05490196,-0.7266492,0.1202838,1,0.472549,241,173,0
-0.7533333,0.1294118,-0.6447802,0.1373325,1,0.5647059,255,216,33
-0.7400916,0.06666672,-0.6691934,0.133,0.9999999,0.5333334,255,207,17
-0.6345155,-0.03137255,-0.675356,0.1200393,0.9271255,0.4843137,238,174,8
-0.6642041,0.003921628,-0.6383882,0.1281538,0.9212598,0.5019608,245,191,11
-0.6326936,-0.05098039,-0.718591,0.1148966,0.9586777,0.4745098,237,165,4
-0.04083755,0.2470589,0.02965454,0.34996,0.05208333,0.6235294,154,164,155
0.05641622,0.2666667,0.09236658,0.5872667,0.1122995,0.6333333,150,160,172
-0.759528,0.05490196,-0.6481536,0.137566,1,0.527451,255,213,13
0.08849565,0.5568628,0.1610497,0.579968,0.2212389,0.7784314,186,199,211
0.04246322,0.2941177,-0.07358404,0.9167,0.08888888,0.6470588,173,157,165
-0.04889542,0.3490196,0.02821612,0.3333,0.06024097,0.6745098,167,177,167
-0.217426,-0.2509804,-0.5407476,0.06084522,0.6020942,0.3745098,153,80,38
0.0391457,0.6156863,0.05104337,0.604125,0.08163265,0.8078431,202,205,210
1.321489E-09,0.9137255,-0.1108178,1,0.2727273,0.9568627,247,241,241
-0.6210225,-0.2078431,-0.7431551,0.110789,0.9900991,0.3960784,201,133,0
0.005724713,0.3215687,0.08190013,0.5111067,0.0867052,0.6607844,161,175,176
-0.2079066,-0.1764706,-0.6814396,0.04713028,0.7238095,0.4117647,181,72,28
-0.5772618,-0.06274509,-0.6656695,0.1136986,0.8828452,0.4686275,225,158,14
0.122677,0.6705883,0.1940951,0.5897077,0.3095238,0.8352941,200,212,226
0.07306297,0.5529412,0.12661,0.5833,0.1754386,0.7764706,188,198,208
0.1021457,0.6705883,0.1218017,0.6110666,0.2142857,0.8352941,204,210,222
-0.3577987,-0.2862745,-0.7741735,0.06890249,0.8901099,0.3568628,172,77,9
-0.07361656,0.9490197,-0.1529366,0.07139999,0.5384616,0.9745098,252,248,245
0.04572079,0.8156862,0.04119495,0.63328,0.106383,0.9078431,228,229,234
-0.7221763,-0.06666666,-0.6884889,0.1288,1,0.4666667,238,183,0
-0.634101,-0.03921568,-0.7295457,0.1138785,0.967347,0.4803922,241,166,3
0.04682657,0.8235295,0.04219127,0.63328,0.1111111,0.9117647,230,231,235
-0.7315462,0.02745104,-0.6693538,0.132061,0.9919354,0.5137255,253,203,8
-0.537252,0,-0.57678,0.1193552,0.7882353,0.5,228,171,26
-0.005073759,0.2039216,0.05280538,0.4847545,0.05418719,0.6019608,147,159,158
-0.7524722,0.06274509,-0.6556284,0.1359289,1,0.5313725,255,211,15
0.0508545,0.3137255,-0.04887791,0.8718461,0.07428572,0.6568627,174,160,171
0.05648191,0.3019608,-0.06444272,0.8854625,0.08988764,0.6509804,174,158,169
-0.6252257,-0.1843137,-0.7583675,0.1097317,1,0.4078431,208,136,0
-0.2391453,-0.2431372,-0.2225537,0.1307169,0.3367876,0.3784314,129,115,64
-0.6254442,-0.517647,-0.4034826,0.158815,0.8699188,0.2411765,115,110,7
-0.160889,-0.04313719,-0.09792908,0.1629783,0.1885246,0.4784314,145,144,99
-0.3651984,-0.2117647,-0.6481227,0.08166667,0.7611941,0.3941177,177,99,23
0.03494123,0.09803927,0.06960606,0.5740444,0.07826086,0.5490196,131,141,149
-0.04943459,0.1254902,-0.09963142,0.07330402,0.1121076,0.5627451,156,142,130
-0.7170364,0.0196079,-0.6967599,0.1272824,1,0.509804,255,196,5
0.08054869,0.4313726,0.1330671,0.586632,0.1724138,0.7156863,170,182,195
0.111695,0.6156863,0.1767197,0.5897077,0.2653061,0.8078431,193,205,219
-0.624628,-0.1176471,-0.7376349,0.1118274,0.9733334,0.4411765,222,150,2
-0.06768869,0.01568627,-0.002084644,0.2451,0.06772911,0.5078431,130,138,121
-0.08522769,0.2274511,-0.1838752,0.0690781,0.2081218,0.6137255,177,153,136
-0.2924621,-0.6117647,-0.283772,0.1274,0.5151515,0.1941177,75,62,24
-0.0384298,0.9254901,-0.04582482,0.1110667,0.1578947,0.9627451,247,246,243
0.05989575,0.3882353,-0.1285054,0.9305834,0.1538462,0.6941177,189,165,175
-0.2770827,-0.4745098,-0.1997716,0.1505808,0.3880597,0.2627451,93,88,41
-0.7388621,0.01568627,-0.6376605,0.13668,0.9760956,0.5078431,251,207,7
-0.0724831,0.1411765,0.02553102,0.3039,0.07762557,0.5705882,139,154,136
-0.0327531,-0.1215686,-0.01356075,0.187525,0.03571428,0.4392157,115,116,108
0.05571498,0.5960784,-0.1372341,0.938621,0.184466,0.7980392,213,193,200
0.1103037,0.6078432,0.1745185,0.5897077,0.26,0.8039216,192,204,218
0.0142246,0.8588235,-0.02464966,0.9167,0.05555556,0.9294118,238,236,237
-0.3059638,-0.03921568,-0.534472,0.08274835,0.6163265,0.4803922,198,122,47
0.03011154,0.3764706,-0.1065315,0.9561579,0.1194969,0.6882353,185,165,170
-0.152194,0.09019613,-0.02682496,0.2222333,0.1551724,0.5450981,145,157,121
0.08974048,0.509804,0.1627168,0.5802148,0.216,0.754902,179,193,206
-0.6218261,-0.1294118,-0.7608865,0.1090473,0.990991,0.4352941,221,145,0
0.03430636,0.2823529,-0.03238752,0.8704222,0.04918033,0.6411765,168,158,166
0.02624035,0.2627451,0.06688876,0.5595,0.07446808,0.6313726,154,163,168
-0.6653363,-0.0745098,-0.7314317,0.1174744,0.9915255,0.4627451,235,165,0
-0.09313699,0.7490196,-0.1613961,0.0833,0.28125,0.8745098,232,223,214
-0.6577177,-0.0745098,-0.7269327,0.1170509,0.9830508,0.4627451,234,165,2
-0.4617564,-0.2784314,-0.7455211,0.08825833,0.9130435,0.3607843,176,97,7
-0.5830401,0.1254902,-0.5554103,0.1288619,0.8116593,0.5627451,234,193,52
-0.2352951,-0.4941176,-0.6673835,0.05394666,0.8139535,0.2529412,117,45,12
-0.2550446,-0.08235294,-0.5577474,0.06825969,0.6153846,0.4588235,189,103,44
-0.03078772,0.8862746,-0.03671217,0.1110667,0.1034483,0.9431373,242,241,239
0.08878623,0.6117647,0.1789415,0.573304,0.2525252,0.8058823,192,206,218
0.07357103,0.4196079,0.1274904,0.5833,0.1621622,0.7098039,169,181,193
0.07370339,0.5019608,0.1063502,0.5964526,0.1496063,0.7509804,181,190,201
-0.7368495,-0.4980392,-0.343442,0.1805833,0.9375,0.2509804,114,124,4
-0.3800256,-0.05490196,-0.6368504,0.08562682,0.7427386,0.472549,210,123,30
-0.3150031,-0.5294118,-0.486666,0.09142686,0.6833333,0.2352941,100,64,18
0.1161161,0.6392157,0.1837146,0.5897077,0.2826087,0.8196079,196,208,222
-0.1652571,0.1568627,-0.4823646,0.05253151,0.5162791,0.5784314,203,126,91
-0.0335027,0.772549,-0.08091865,0.06247498,0.137931,0.8862745,230,225,222
-0.02318763,0.8078432,-0.02764961,0.1110667,0.06122449,0.9039216,232,231,229
-0.324571,-0.0745098,-0.6597193,0.07276785,0.7372882,0.4627451,205,107,30
-0.7184895,-0.01176471,-0.6954384,0.1275945,1,0.4941176,252,193,0
0.03405043,0.7254902,0.01967805,0.6666,0.05714285,0.8627451,218,218,222
-0.1645861,0.8588235,-0.1962573,0.1110667,0.5,0.9294118,246,240,228
-0.5956586,-0.07058823,-0.7034243,0.1118274,0.9240506,0.4647059,228,156,9
0.09184322,0.6078432,0.1095166,0.6110666,0.18,0.8039216,196,202,214
0.04866553,0.6745098,0.03883807,0.6428,0.08433734,0.8372549,209,210,217
-0.5408782,-0.07058823,-0.704363,0.1042238,0.8902954,0.4647059,224,145,12
-0.04352158,0.1921569,-0.09534226,0.06815451,0.1067961,0.5960785,163,150,141
-0.6228961,-0.172549,-0.7630382,0.1089612,1,0.4137255,211,138,0
0.0554797,0.7882353,0.0723418,0.604125,0.1481481,0.8941177,224,227,232
0.07448439,0.509804,0.1074772,0.5964526,0.152,0.754902,183,191,202
-0.6448351,-0.05098039,-0.6391292,0.1257073,0.9090909,0.4745098,231,176,10
-0.4875067,-0.3372549,-0.7923029,0.08778925,0.9881657,0.3313726,168,89,1
0.07687171,0.4235294,0.08831799,0.6139895,0.1292517,0.7117647,171,177,191
0.0146729,0.5254903,-0.1044454,0.9777867,0.1239669,0.7627451,202,187,189
0.01472406,0.2352941,0.002604729,0.7221333,0.01538462,0.6176471,156,155,159
-0.2342748,0.1803921,-0.3125616,0.1023687,0.3971292,0.5901961,192,160,108
-0.7187188,-0.01176471,-0.672172,0.1303242,0.984127,0.4941176,250,196,1
0.07361765,0.4235294,0.1211187,0.5869218,0.1564626,0.7117647,169,180,193
-0.406499,-0.07843137,-0.6910906,0.08462225,0.8042554,0.4607843,212,119,22
0.0480061,0.8313725,0.04325404,0.63328,0.1162791,0.9156862,230,231,236
-0.100892,0.172549,-0.3059006,0.05070436,0.3270142,0.5862745,184,136,114
-0.09657961,0.227451,-0.2856431,0.05189183,0.3096447,0.6137255,187,145,125
-0.01915571,0.2666667,0.01723772,0.36662,0.02673797,0.6333333,158,164,159
0.07840291,0.6,0.1358636,0.5833,0.1960784,0.8,194,204,214
0.08355962,0.6392157,0.1447995,0.5833,0.2173913,0.8196079,199,209,219
-0.1480213,0.07450986,-0.03506713,0.2129778,0.1525424,0.5372549,145,155,119
-0.142374,0.5686275,-0.1535348,0.119,0.2545455,0.7843137,214,206,186
-0.1210218,-0.2431372,-0.03377569,0.206684,0.1295337,0.3784314,103,109,84
-0.148793,0.4705882,-0.1561448,0.1211636,0.2444444,0.7352941,204,195,170
-0.7187188,-0.01176471,-0.672172,0.1303242,0.984127,0.4941176,250,196,1
-0.1342619,0.3882353,-0.4654317,0.04469759,0.525641,0.6941177,218,158,136
-0.3554373,-0.1960784,-0.2343093,0.1572405,0.4341463,0.4019608,147,142,58
-0.380428,-0.03137255,-0.6634772,0.08285923,0.7651822,0.4843137,218,122,28
-0.180901,-0.003921509,-0.1519015,0.1388334,0.2362205,0.4980392,157,147,97
0.06865837,0.4470589,0.09907053,0.5964526,0.1347518,0.7235295,175,183,194
-0.1146926,0.172549,-0.0719246,0.1608552,0.1374408,0.5862745,164,163,134
-0.3083825,-0.05882353,-0.6822417,0.0675656,0.75,0.4705882,210,103,30
-0.06448623,0.8862746,-0.1284622,0.07404453,0.3103448,0.9431373,245,240,236
-0.2337153,-0.4666666,-0.6623175,0.05399075,0.7941176,0.2666667,122,49,14
-0.1679679,-0.1215686,-0.4481216,0.05707594,0.4821429,0.4392157,166,95,58
-0.4982614,-0.2352941,-0.691488,0.09937546,0.8769231,0.3823529,183,114,11
0.09645373,0.6156863,0.1671436,0.5833,0.244898,0.8078431,194,206,218
-0.6570211,-0.6705883,-0.3045345,0.180922,0.9761904,0.1647059,75,82,1
-0.1023198,0.1882353,-0.2909279,0.05382462,0.3140097,0.5941176,184,139,118
0.09682809,0.6235294,0.1507432,0.5908727,0.2291667,0.8117647,196,206,218
-0.6381114,-0.1176471,-0.7609027,0.1110667,1,0.4411765,225,150,0
0.0668784,0.7333333,0.0743198,0.61662,0.1470588,0.8666667,216,219,226
0.1178917,0.5882354,0.1322145,0.6158956,0.2190476,0.7941177,191,198,214
-0.04554261,0.7843137,-0.09072485,0.07404449,0.1636364,0.8921568,232,227,222
-0.04760801,0.3294117,-0.01424686,0.2037222,0.05263158,0.6647059,172,174,164
-0.6175613,-0.06666666,-0.7295691,0.1117974,0.9579832,0.4666667,233,158,4
-0.5979173,-0.2549019,-0.7599472,0.1060979,0.9999999,0.372549,190,120,0
-0.6244947,-0.1294118,-0.7470915,0.1108119,0.9819821,0.4352941,220,147,1
-0.3225143,-0.6470588,-0.2476617,0.145775,0.5333334,0.1764706,68,63,20
-0.5991921,-0.2431372,-0.7499693,0.1072869,0.9896373,0.3784314,192,124,0
-0.6953721,-0.06274509,-0.7159055,0.1226845,1,0.4686275,239,176,0
