PosX,PosY,PosZ,H(0.0-1.0),S(0.0-1.0),L(0.0-1.0),R(0-255),G(0-255),B(0-255)
-0.6515329,-0.06274509,-0.7338296,0.1155566,0.9832636,0.4686275,237,164,1
-0.6028414,-0.09019607,-0.7491474,0.1078437,0.9655172,0.454902,228,148,4
-0.6385069,-0.08235294,-0.7428735,0.1129983,0.982906,0.4588235,232,158,1
-0.6403645,-0.1843137,-0.7456285,0.1129356,1,0.4078431,208,141,0
-0.7604262,0.03137255,-0.6486661,0.1375968,1,0.5156863,255,212,7
0.1607659,0.7176471,0.2179461,0.60115,0.3888889,0.8588235,205,216,233
0.04783372,0.4588236,-0.04309869,0.86672,0.07246377,0.7294118,191,181,189
-0.1575761,-0.172549,-0.4045413,0.05911612,0.4407583,0.4137255,152,91,58
-0.03515948,0.3490196,-0.1541077,0.03569996,0.1686747,0.6745098,186,164,158
-0.09995652,0.0862745,-0.05776576,0.1666,0.1158798,0.5431373,152,152,125
0.02153181,0.2980392,0.0428933,0.5740444,0.05027933,0.6490196,160,166,170
-0.01081252,0.2745099,0.04551304,0.4628778,0.04864865,0.637255,158,167,165
0.07067143,0.5294118,0.1224657,0.5833,0.1666667,0.7647059,185,195,205
0.1050992,0.5764706,0.1662841,0.5897077,0.2407408,0.7882353,188,200,214
0.09762464,0.5882354,0.1289519,0.6031333,0.2,0.7941177,192,200,213
-0.05737231,0.03137255,-0.1205847,0.07067879,0.1336033,0.5156863,148,129,115
-0.148638,-0.08235288,-0.4172505,0.05446537,0.4444444,0.4588236,169,99,65
-0.310953,-0.03137255,-0.6362305,0.07235204,0.708502,0.4843137,211,112,36
0.03620991,0.517647,-0.198449,0.9712758,0.2357724,0.7588235,208,178,184
-0.04949939,0.4980392,-0.376137,0.02082502,0.4375,0.7490196,219,170,163
-0.2591649,0.06274509,-0.5931072,0.06556518,0.6485356,0.5313725,213,119,57
0.0800934,0.5411766,0.07216506,0.63328,0.1282051,0.7705883,189,192,204
0.08131879,0.6784314,0.1596715,0.57497,0.2439025,0.8392157,204,215,224
-0.7376523,0.07843137,-0.6706099,0.1325711,1,0.5392157,255,207,19
-0.5998475,-0.1254902,-0.7104444,0.1115981,0.9372197,0.4372549,216,146,6
-0.6268114,-0.1372549,-0.7669867,0.1090473,1,0.4313726,220,144,0
-0.6916192,-0.03529412,-0.7101009,0.1229017,0.9918699,0.4823529,245,181,0
-0.6146509,-0.1529412,-0.7503182,0.109233,0.9814815,0.4235294,214,140,1
-0.4883404,-0.2705882,-0.781215,0.08891571,0.9569892,0.3647059,182,98,4
-0.4627064,-0.2901961,-0.751997,0.08778925,0.9226519,0.354902,174,95,6
-0.7256094,0.1568627,-0.6563708,0.1329672,0.9906977,0.5784314,254,211,40
-0.6542407,-0.1215686,-0.7464517,0.1145375,1,0.4392157,224,154,0
-0.7314652,-0.01960784,-0.6815969,0.1306144,1,0.4901961,250,196,0
-0.690224,-0.05098039,-0.6753799,0.12673,0.9669421,0.4745098,238,182,4
-0.6629288,-0.08235294,-0.7326922,0.1170509,0.991453,0.4588235,233,164,0
-0.6127696,-0.1843137,-0.7563424,0.1083709,0.9903846,0.4078431,207,135,0
-0.6143012,-0.2156863,-0.7590213,0.10829,0.9999999,0.3921569,200,129,0
-0.700281,-0.1215686,-0.6908783,0.1260757,0.9910714,0.4392157,223,169,1
-0.6531675,-0.1019608,-0.7387598,0.1152256,0.9912664,0.4490196,228,158,1
-0.6020048,-0.1333333,-0.7300237,0.1097507,0.9547511,0.4333333,216,144,4
-0.6304204,-0.09019607,-0.7260921,0.1137937,0.9655172,0.454902,228,156,4
-0.6869428,-0.05882353,-0.7243268,0.120785,0.9999999,0.4705882,240,174,0
-0.6534395,-0.09803921,-0.7275001,0.1164726,0.9826087,0.4509804,228,160,2
-0.7451175,0.003921628,-0.6669216,0.1338047,1,0.5019608,255,204,1
-0.05234498,0.3411765,-0.2520017,0.03259563,0.2738095,0.6705883,194,157,148
-0.08188872,0.1137255,-0.3057407,0.04165004,0.3185841,0.5568628,178,124,106
0.03972233,0.4627452,0.1025802,0.5588,0.1240876,0.7313726,178,189,195
0.06644603,0.5568628,0.1228398,0.5789158,0.1681416,0.7784314,189,199,208
-0.03484166,0.1764706,0.03135308,0.36662,0.04761905,0.5882353,145,155,147
-0.7426951,0,-0.6459702,0.1360678,0.9843137,0.5,253,207,1
-0.6507894,-0.08235294,-0.6858823,0.1208225,0.948718,0.4588235,228,166,5
-0.5867952,-0.1921569,-0.7385104,0.1068596,0.9611651,0.4039216,202,130,3
-0.6229975,-0.1529412,-0.7553023,0.1097692,0.9907407,0.4235294,215,142,1
-0.6316991,-0.05098039,-0.7084447,0.1158957,0.9504132,0.4745098,236,166,5
-0.6534647,-0.1333333,-0.7451215,0.1145846,1,0.4333333,221,152,0
-0.7560577,0.03137255,-0.6413108,0.13804,0.9919028,0.5156863,254,211,9
-0.09046805,0.3843138,-0.2486667,0.05553338,0.2866242,0.6921569,199,169,154
-0.1088937,0.06666672,-0.06293062,0.1666,0.1260504,0.5333334,151,151,121
-0.0151109,0.2196078,0.04145382,0.4443667,0.04522613,0.6098039,150,160,157
-0.7365521,-0.05490196,-0.674149,0.1320357,1,0.472549,241,191,0
