PosX,PosY,PosZ,H(0.0-1.0),S(0.0-1.0),L(0.0-1.0),R(0-255),G(0-255),B(0-255),RGB(16)
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0.2836853,-0.09019601,0.2362532,0.639479,0.3706897,0.454902,73,87,159,49579f
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0.1897617,0.3333334,0.2021979,0.619952,0.2941177,0.6666667,145,159,195,919fc3
-0.2031156,0.8196079,-0.4820615,0.06346672,0.9130435,0.9098039,253,227,211,fde3d3
0.1379816,-0.517647,0.2172611,0.590054,0.300813,0.2411765,43,60,80,2b3c50
-0.1410223,0.7882353,-0.4573771,0.04760004,0.7777778,0.8941177,249,219,207,f9dbcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0.209562,0.5058824,0.1541485,0.6490632,0.3015873,0.7529412,173,177,211,adb1d3
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0.2975294,-0.09019601,0.2185616,0.6491651,0.3706897,0.454902,73,82,159,49529f
-0.1793295,0.772549,-0.4705729,0.05794786,0.7931035,0.8862745,249,219,203,f9dbcb
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0.2042064,0.4039216,0.2043347,0.62495,0.3157895,0.7019608,155,167,203,9ba7cb
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0.1667588,0.4196079,0.2121675,0.6060182,0.2972973,0.7098039,159,175,203,9fafcb
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0.1982554,0.5529412,0.1498305,0.647,0.2982456,0.7764706,181,185,215,b5b9d7
-0.1743345,0.8117647,-0.4543561,0.05831001,0.8333334,0.9058824,251,225,211,fbe1d3
-0.1978655,0.8117647,-0.4446135,0.06664003,0.8333333,0.9058824,251,227,211,fbe3d3
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
-0.1743345,0.8117647,-0.4543561,0.05831001,0.8333334,0.9058824,251,225,211,fbe1d3
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0.2931402,-0.07450974,0.1847306,0.6605049,0.3474576,0.4627451,77,79,159,4d4f9f
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0.3304899,-0.2,0.2142102,0.6584731,0.4019608,0.4,60,65,143,3c418f
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0.2955849,-0.07843137,0.191328,0.6585711,0.3531915,0.4607843,76,80,159,4c509f
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0.2856814,-0.2196078,0.3167015,0.6168115,0.4371859,0.3901961,56,82,142,38528e
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0.2231306,-0.1882353,0.3916289,0.5824232,0.4589372,0.4058824,56,104,151,386897
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
0.2086421,0.5450981,0.1554491,0.6480889,0.3103448,0.772549,179,183,215,b3b7d7
0,0.6235294,0,1,0,0.8117647,207,207,207,cfcfcf
