PosX,PosY,PosZ,H(0.0-1.0),S(0.0-1.0),L(0.0-1.0),R(0-255),G(0-255),B(0-255)
0.02319272,-0.1921569,0.03024175,0.604125,0.03883495,0.4039216,99,102,107
0.005401894,-0.2784314,-0.0201686,0.95835,0.02173913,0.3607843,94,90,91
0.009688884,-0.3411765,-0.005599292,0.8334,0.01190476,0.3294118,85,83,85
0.0178765,-0.5098039,-0.01033099,0.8334,0.02400003,0.2450981,64,61,64
-0.005310792,0.2588236,-0.0249956,0.03332001,0.02645503,0.6294118,163,159,158
3.745837E-10,-0.4392157,-0.03141194,1,0.03496503,0.2803922,74,69,69
0.04934788,-0.7647059,0.04143715,0.6388333,0.1,0.1176471,26,27,32
-0.009373143,0.2117648,-0.01117681,0.1110667,0.01492537,0.6058824,156,155,153
0.006310763,-0.4431372,-0.01093585,0.9167,0.01408451,0.2784314,72,70,71
0,0.09803927,0,1,0,0.5490196,140,140,140
0.008666785,-0.2392157,0.005008612,0.6666,0.01030928,0.3803922,96,96,98
0.01224213,-0.5294118,0.007074837,0.6666,0.01666667,0.2352941,58,58,60
0.01600668,-0.4235294,-0.009250403,0.8334,0.02040816,0.2882353,75,72,75
0.0178765,-0.5098039,-0.01033099,0.8334,0.02400003,0.2450981,64,61,64
0.01022951,0.3882353,0.005911724,0.6666,0.01282051,0.6941177,176,176,178
0,0.6392157,0,1,0,0.8196079,209,209,209
-0.01385503,-0.5411764,-0.01652114,0.1110667,0.02564102,0.2294118,60,59,57
-0.3797497,-0.8862745,-0.1233354,0.20002,0.862069,0.05686274,21,26,2
-0.2172056,-0.3960784,-0.1471326,0.1552409,0.2857143,0.3019608,99,96,55
-0.53008,-0.3215686,-0.3394131,0.1593565,0.6647399,0.3392157,144,138,28
-0.09524255,0.4901961,-0.2071103,0.06859999,0.2615385,0.7450981,207,187,173
-0.1769925,-0.8470588,-0.1022855,0.1666,0.3846154,0.07647058,27,26,11
-0.1247578,-0.3529412,-0.03802265,0.2029174,0.1393939,0.3235294,88,94,71
-0.3853866,-0.5607843,-0.1511866,0.1905,0.5,0.2196078,75,83,27
-0.3773002,-0.9058824,-0.09149399,0.2121364,0.9166667,0.04705882,16,22,0
0,-0.5490196,0,1,0,0.2254902,57,57,57
0.04306018,-0.7019608,0.0361574,0.6388333,0.07894736,0.1490196,34,35,40
0.09993663,-0.7764705,0.1847543,0.5789158,0.3333333,0.1117647,19,29,38
0.1219266,-0.7568628,0.1453889,0.6110666,0.2903226,0.1215686,21,28,39
0.01720127,0.164706,0.01549854,0.63328,0.02347418,0.582353,146,147,151
0.02191978,-0.1372549,0.02858192,0.604125,0.03636364,0.4313726,106,109,114
0.01720127,0.164706,0.01549854,0.63328,0.02347418,0.582353,146,147,151
0.07045226,-0.7411765,0.04071499,0.6666,0.1212121,0.1294118,28,28,36
0.05006041,-0.5450981,0.02893036,0.6666,0.06896551,0.227451,53,53,61
0.01768906,-0.5019608,-0.01022266,0.8334,0.02362208,0.2490196,65,62,65
0.02993231,-0.2941176,0.01091105,0.6943666,0.03333333,0.3529412,88,87,93
-0.01702142,-0.3215686,-0.06908736,0.03844615,0.0751445,0.3392157,93,83,80
-0.01820615,-0.7058823,-0.02170954,0.1110667,0.03999999,0.1470588,39,38,36
0,-0.01960784,0,1,0,0.4901961,125,125,125
0.01072234,0.427451,0.006196537,0.6666,0.01369863,0.7137255,181,181,183
0.02156916,-0.6352941,-0.01246501,0.8334,0.03225806,0.182353,48,45,48
0.01164821,-0.1333333,-0.006731607,0.8334,0.01357466,0.4333333,112,109,112
0.09527227,-0.7764705,0.107603,0.6153384,0.2280702,0.1117647,22,26,35
0,-0.5568627,0,1,0,0.2215686,56,56,56
0.02960025,-0.7176471,0.0714931,0.562475,0.1111111,0.1411765,31,36,39
0.1058394,-0.7176471,0.08446632,0.6428,0.1944445,0.1411765,28,30,42
0.007259578,0.06666672,0.004195375,0.6666,0.008403362,0.5333334,135,135,137
3.968077E-10,-0.3333333,-0.03327561,1,0.03529412,0.3333333,88,82,82
-0.3016131,-0.9215686,-0.2444193,0.14161,1,0.03921568,19,17,0
0,-0.8039216,0,1,0,0.09803921,24,24,24
-0.4657579,-0.2901961,-0.4836656,0.1219984,0.7016575,0.354902,154,120,26
-0.6125237,-0.3372549,-0.3539829,0.1666,0.7514793,0.3313726,148,148,21
-0.212377,-0.9764706,0.03743247,0.2777666,0.9999999,0.01176471,2,5,0
-0.341225,-0.6705883,-0.09139271,0.20835,0.4761904,0.1647059,51,61,22
0.01032476,-0.3960784,0.005966772,0.6666,0.01298701,0.3019608,76,76,78
0.02396228,0.5137255,0.01384802,0.6666,0.03225806,0.7568628,191,191,195
0.0178765,-0.5098039,-0.01033099,0.8334,0.02400003,0.2450981,64,61,64
0.08681304,-0.7529411,0.07527604,0.6363091,0.1746032,0.1235294,26,28,37
0.03754842,-0.6980392,0.07479983,0.5740444,0.1168831,0.1509804,34,39,43
0.05213048,-0.6666666,0.08115742,0.5908727,0.1294118,0.1666667,37,42,48
0.04523455,-0.6627451,0.02614145,0.6666,0.06976744,0.1686274,39,39,45
0.1068827,-0.745098,0.1107484,0.6221733,0.2307693,0.127451,25,29,40
3.22146E-10,-0.1372549,-0.02701461,1,0.02727273,0.4313726,113,107,107
-0.246341,-0.8392157,-0.2219559,0.13328,0.6097561,0.08039215,32,28,7
-0.1402271,-0.9490196,-0.1672109,0.1110667,0.6923077,0.02549019,10,8,1
-0.195998,-0.8941177,-0.153245,0.1443867,0.5555556,0.05294117,20,18,5
